id,segment,word,count
FdZC6sbAFU4,6,transfer,1
FdZC6sbAFU4,6,power,1
FdZC6sbAFU4,6,leader,2
FdZC6sbAFU4,6,like,1
FdZC6sbAFU4,6,state,1
FdZC6sbAFU4,6,supporter,1
FdZC6sbAFU4,6,people,2
FdZC6sbAFU4,6,way,1
FdZC6sbAFU4,6,trump,3
FdZC6sbAFU4,6,respect,1
FdZC6sbAFU4,6,maintain,1
FdZC6sbAFU4,6,believe,1
FdZC6sbAFU4,6,think,1
FdZC6sbAFU4,6,significant,1
FdZC6sbAFU4,6,number,1
FdZC6sbAFU4,6,remember,2
FdZC6sbAFU4,6,big,1
FdZC6sbAFU4,6,mix,1
FdZC6sbAFU4,6,align,1
FdZC6sbAFU4,6,conservative,1
FdZC6sbAFU4,6,republican,1
FdZC6sbAFU4,6,venerate,1
FdZC6sbAFU4,6,near,1
FdZC6sbAFU4,6,perfection,1
FdZC6sbAFU4,6,human,2
FdZC6sbAFU4,6,government,1
FdZC6sbAFU4,6,reach,1
FdZC6sbAFU4,6,trash,1
FdZC6sbAFU4,6,allow,1
FdZC6sbAFU4,6,painful,1
FdZC6sbAFU4,6,reince,1
FdZC6sbAFU4,6,priebus,1
FdZC6sbAFU4,6,chief,1
FdZC6sbAFU4,6,staff,1
FdZC6sbAFU4,6,domestic,1
FdZC6sbAFU4,6,terrorist,1
FdZC6sbAFU4,6,mitch,3
FdZC6sbAFU4,7,happen,2
FdZC6sbAFU4,7,right,2
FdZC6sbAFU4,7,constitution,1
FdZC6sbAFU4,7,election,1
FdZC6sbAFU4,7,result,1
FdZC6sbAFU4,7,president,1
FdZC6sbAFU4,7,lot,1
FdZC6sbAFU4,7,sure,1
FdZC6sbAFU4,7,kick,1
FdZC6sbAFU4,7,trump,1
FdZC6sbAFU4,7,let,1
FdZC6sbAFU4,7,know,1
FdZC6sbAFU4,7,want,1
FdZC6sbAFU4,7,thing,1
FdZC6sbAFU4,7,clear,1
FdZC6sbAFU4,7,think,1
FdZC6sbAFU4,7,remember,1
FdZC6sbAFU4,7,big,1
FdZC6sbAFU4,7,republican,1
FdZC6sbAFU4,7,party,1
FdZC6sbAFU4,7,mitch,1
FdZC6sbAFU4,7,describe,1
FdZC6sbAFU4,7,poisonous,1
FdZC6sbAFU4,7,path,1
FdZC6sbAFU4,7,previously,1
FdZC6sbAFU4,7,supportive,1
FdZC6sbAFU4,7,lead,1
FdZC6sbAFU4,7,effort,1
FdZC6sbAFU4,7,prevent,1
FdZC6sbAFU4,7,impeach,1
FdZC6sbAFU4,7,uncomfortable,1
FdZC6sbAFU4,7,tonight,2
FdZC6sbAFU4,7,session,1
FdZC6sbAFU4,7,deadline,1
FdZC6sbAFU4,7,6th,1
FdZC6sbAFU4,7,sit,1
FdZC6sbAFU4,7,night,1
FdZC6sbAFU4,7,thank,1
FdZC6sbAFU4,7,probably,1
FdZC6sbAFU4,7,scene,1
FdZC6sbAFU4,7,pretty,1
FdZC6sbAFU4,7,volatile,1
FdZC6sbAFU4,7,guess,1
FdZC6sbAFU4,7,impact,1
FdZC6sbAFU4,7,presidency,1
FdZC6sbAFU4,7,hope,1
FdZC6sbAFU4,7,achieve,1
FdZC6sbAFU4,7,feel,1
FdZC6sbAFU4,7,join,1
FdZC6sbAFU4,7,communication,1
FdZC6sbAFU4,7,director,1
FdZC6sbAFU4,7,cruz,1
FdZC6sbAFU4,8,american,1
FdZC6sbAFU4,8,peaceful,1
FdZC6sbAFU4,8,transfer,1
FdZC6sbAFU4,8,like,1
FdZC6sbAFU4,8,president,1
FdZC6sbAFU4,8,vote,3
FdZC6sbAFU4,8,people,1
FdZC6sbAFU4,8,trump,1
FdZC6sbAFU4,8,let,2
FdZC6sbAFU4,8,person,1
FdZC6sbAFU4,8,democracy,3
FdZC6sbAFU4,8,republican,1
FdZC6sbAFU4,8,tonight,1
FdZC6sbAFU4,8,scene,1
FdZC6sbAFU4,8,hope,1
FdZC6sbAFU4,8,join,1
FdZC6sbAFU4,8,shortly,1
FdZC6sbAFU4,8,democratic,1
FdZC6sbAFU4,8,congressman,1
FdZC6sbAFU4,8,turn,1
FdZC6sbAFU4,8,response,1
FdZC6sbAFU4,8,witness,1
FdZC6sbAFU4,8,devastate,1
FdZC6sbAFU4,8,disgust,1
FdZC6sbAFU4,8,frankly,1
FdZC6sbAFU4,8,exercise,2
FdZC6sbAFU4,8,3rd,1
FdZC6sbAFU4,8,represent,1
FdZC6sbAFU4,8,view,1
FdZC6sbAFU4,8,value,1
FdZC6sbAFU4,8,policy,1
FdZC6sbAFU4,8,look,1
FdZC6sbAFU4,8,recognize,1
FdZC6sbAFU4,8,fact,2
FdZC6sbAFU4,8,win,2
FdZC6sbAFU4,8,elect,1
FdZC6sbAFU4,8,happy,2
FdZC6sbAFU4,8,thrill,1
FdZC6sbAFU4,8,progress,1
FdZC6sbAFU4,8,stage,1
FdZC6sbAFU4,8,unfold,1
FdZC6sbAFU4,9,capitol,1
FdZC6sbAFU4,9,right,2
FdZC6sbAFU4,9,break,1
FdZC6sbAFU4,9,today,1
FdZC6sbAFU4,9,election,2
FdZC6sbAFU4,9,president,1
FdZC6sbAFU4,9,tell,1
FdZC6sbAFU4,9,capital,1
FdZC6sbAFU4,9,people,2
FdZC6sbAFU4,9,trump,2
FdZC6sbAFU4,9,home,1
FdZC6sbAFU4,9,thing,1
FdZC6sbAFU4,9,country,1
FdZC6sbAFU4,9,continue,1
FdZC6sbAFU4,9,speak,1
FdZC6sbAFU4,9,think,1
FdZC6sbAFU4,9,look,1
FdZC6sbAFU4,9,unfortunate,3
FdZC6sbAFU4,9,reason,1
FdZC6sbAFU4,9,refuse,1
FdZC6sbAFU4,9,acknowledge,1
FdZC6sbAFU4,9,truth,1
FdZC6sbAFU4,9,lose,2
FdZC6sbAFU4,9,fraudulent,2
FdZC6sbAFU4,9,widespread,1
FdZC6sbAFU4,9,voter,2
FdZC6sbAFU4,9,fraud,2
FdZC6sbAFU4,9,figment,1
FdZC6sbAFU4,9,imagination,1
FdZC6sbAFU4,9,regard,1
FdZC6sbAFU4,9,ballot,1
FdZC6sbAFU4,9,invite,1
FdZC6sbAFU4,9,nation,1
FdZC6sbAFU4,9,river,1
FdZC6sbAFU4,9,valid,1
FdZC6sbAFU4,9,encourage,1
FdZC6sbAFU4,9,violence,1
FdZC6sbAFU4,10,come,2
FdZC6sbAFU4,10,life,1
FdZC6sbAFU4,10,away,1
FdZC6sbAFU4,10,american,1
FdZC6sbAFU4,10,world,1
FdZC6sbAFU4,10,like,2
FdZC6sbAFU4,10,president,1
FdZC6sbAFU4,10,end,1
FdZC6sbAFU4,10,supporter,1
FdZC6sbAFU4,10,man,1
FdZC6sbAFU4,10,people,3
FdZC6sbAFU4,10,lot,1
FdZC6sbAFU4,10,remain,1
FdZC6sbAFU4,10,country,1
FdZC6sbAFU4,10,believe,1
FdZC6sbAFU4,10,continue,1
FdZC6sbAFU4,10,stand,2
FdZC6sbAFU4,10,force,1
FdZC6sbAFU4,10,democracy,1
FdZC6sbAFU4,10,party,1
FdZC6sbAFU4,10,scene,1
FdZC6sbAFU4,10,policy,1
FdZC6sbAFU4,10,stage,1
FdZC6sbAFU4,10,unfortunate,1
FdZC6sbAFU4,10,generally,1
FdZC6sbAFU4,10,play,1
FdZC6sbAFU4,10,help,1
FdZC6sbAFU4,10,figure,1
FdZC6sbAFU4,10,decide,1
FdZC6sbAFU4,10,fiery,1
FdZC6sbAFU4,10,trumpism,1
FdZC6sbAFU4,10,double,1
FdZC6sbAFU4,10,cling,1
FdZC6sbAFU4,10,dear,1
FdZC6sbAFU4,10,clearly,1
FdZC6sbAFU4,10,trip,1
FdZC6sbAFU4,10,support,1
FdZC6sbAFU4,10,cog,1
FdZC6sbAFU4,10,wheel,1
FdZC6sbAFU4,10,process,1
FdZC6sbAFU4,10,firmly,1
FdZC6sbAFU4,10,certainly,1
FdZC6sbAFU4,11,come,1
FdZC6sbAFU4,11,happen,1
FdZC6sbAFU4,11,mean,1
FdZC6sbAFU4,11,today,4
FdZC6sbAFU4,11,day,1
FdZC6sbAFU4,11,peaceful,1
FdZC6sbAFU4,11,transfer,1
FdZC6sbAFU4,11,power,1
FdZC6sbAFU4,11,like,1
FdZC6sbAFU4,11,congress,1
FdZC6sbAFU4,11,election,1
FdZC6sbAFU4,11,president,2
FdZC6sbAFU4,11,vote,1
FdZC6sbAFU4,11,large,1
FdZC6sbAFU4,11,know,1
FdZC6sbAFU4,11,time,2
FdZC6sbAFU4,11,thing,2
FdZC6sbAFU4,11,stand,1
FdZC6sbAFU4,11,think,2
FdZC6sbAFU4,11,number,1
FdZC6sbAFU4,11,communication,1
FdZC6sbAFU4,11,director,1
FdZC6sbAFU4,11,view,1
FdZC6sbAFU4,11,look,1
FdZC6sbAFU4,11,forward,1
FdZC6sbAFU4,11,learn,1
FdZC6sbAFU4,11,mistake,1
